日時	EUR/JPY(始値, 買い)	EUR/JPY(高値, 買い)	EUR/JPY(安値, 買い)	EUR/JPY(終値, 買い)	EUR/JPY(始値, 売り)	
EUR/JPY(高値, 売り)	EUR/JPY(安値, 売り)	EUR/JPY(終値, 売り)	K	D	2014-02-15T07:00:00	139.425	139.481	139.425	
139.481	139.383	139.383	139.383	139.383	4.60	14.83	2014-02-15T06:30:00	139.443	
139.528	139.404	139.425	139.412	139.477	139.382	139.383	10.61	30.13	
2014-02-15T06:00:00	139.473	139.518	139.425	139.443	139.446	139.489	139.388	139.412	
29.26	51.58	2014-02-15T05:30:00	139.542	139.575	139.444	139.473	139.513	139.551	
139.416	139.446	50.50	68.31	2014-02-15T05:00:00	139.560	139.563	139.522	139.542	
139.531	139.535	139.493	139.513	74.97	79.05	2014-02-15T04:30:00	139.523	139.607	
139.510	139.560	139.494	139.577	139.482	139.531	79.46	76.69	2014-02-15T04:00:00	
139.487	139.529	139.481	139.523	139.458	139.500	139.453	139.494	82.74	
70.03	2014-02-15T03:30:00	139.509	139.535	139.467	139.487	139.482	139.507	139.438	
139.458	67.86	56.42	2014-02-15T03:00:00	139.472	139.532	139.459	139.509	139.444	
139.504	139.430	139.482	59.50	48.25	2014-02-15T02:30:00	139.440	139.502	139.408	
139.472	139.410	139.476	139.382	139.444	41.91	42.02	2014-02-15T02:00:00	139.409	
139.469	139.368	139.440	139.380	139.441	139.344	139.410	43.35	44.44	
2014-02-15T01:30:00	139.451	139.499	139.408	139.409	139.428	139.473	139.379	139.380	
40.81	42.94	2014-02-15T01:00:00	139.433	139.486	139.376	139.451	139.406	139.458	
139.348	139.428	49.15	42.97	2014-02-15T00:30:00	139.495	139.583	139.411	139.433	
139.471	139.555	139.381	139.406	38.84	37.32	2014-02-15T00:00:00	139.414	139.525	
139.317	139.495	139.385	139.499	139.292	139.471	40.91	39.06	2014-02-14T23:30:00	
139.491	139.505	139.352	139.414	139.463	139.479	139.321	139.385	32.20	
43.20	2014-02-14T23:00:00	139.479	139.543	139.357	139.491	139.450	139.516	139.330	
139.463	44.06	57.11	2014-02-14T22:30:00	139.547	139.626	139.455	139.479	139.516	
139.598	139.428	139.450	53.33	70.95	2014-02-14T22:00:00	139.584	139.584	139.467	
139.547	139.557	139.557	139.442	139.516	73.94	74.75	2014-02-14T21:30:00	139.651	
139.660	139.522	139.584	139.620	139.629	139.494	139.557	85.57	63.31	
2014-02-14T21:00:00	139.619	139.664	139.547	139.651	139.591	139.636	139.518	139.620	
64.73	39.16	2014-02-14T20:30:00	139.424	139.638	139.390	139.619	139.393	139.613	
139.361	139.591	39.64	26.24	2014-02-14T20:00:00	139.450	139.486	139.407	139.424	
139.421	139.460	139.378	139.393	13.12	26.64	2014-02-14T19:30:00	139.435	139.479	
139.386	139.450	139.406	139.450	139.369	139.421	25.96	42.10	2014-02-14T19:00:00	
139.542	139.576	139.396	139.435	139.515	139.544	139.370	139.406	40.83	
55.50	2014-02-14T18:30:00	139.531	139.601	139.442	139.542	139.506	139.571	139.414	
139.515	59.51	67.49	2014-02-14T18:00:00	139.518	139.674	139.437	139.531	139.490	
139.644	139.411	139.506	66.17	75.71	2014-02-14T17:30:00	139.504	139.599	139.463	
139.518	139.475	139.571	139.434	139.490	76.80	80.59	2014-02-14T17:00:00	139.620	
139.706	139.394	139.504	139.591	139.677	139.370	139.475	84.17	75.10	
2014-02-14T16:30:00	139.582	139.631	139.494	139.620	139.552	139.602	139.465	139.591	
80.81	60.05	2014-02-14T16:00:00	139.233	139.643	139.233	139.582	139.208	139.617	
139.208	139.552	60.33	42.51	2014-02-14T15:30:00	139.145	139.312	139.126	139.233	
139.114	139.282	139.097	139.208	39.00	32.65	2014-02-14T15:00:00	139.109	139.193	
139.088	139.145	139.081	139.166	139.061	139.114	28.20	29.47	2014-02-14T14:30:00	
139.133	139.238	139.078	139.109	139.106	139.209	139.048	139.081	30.74	
28.96	2014-02-14T14:00:00	139.338	139.347	139.006	139.133	139.308	139.318	138.976	
139.106	29.47	24.44	2014-02-14T13:30:00	139.255	139.410	139.211	139.338	139.227	
139.382	139.181	139.308	26.68	17.89	2014-02-14T13:00:00	139.236	139.288	139.175	
139.255	139.211	139.258	139.146	139.227	17.17	10.83	2014-02-14T12:30:00	139.399	
