日時	CAD/CHF(始値, 買い)	CAD/CHF(高値, 買い)	CAD/CHF(安値, 買い)	CAD/CHF(終値, 買い)	CAD/CHF(始値, 売り)	CAD/CHF(高値, 売り)	CAD/CHF(安値, 売り)	CAD/CHF(終値, 売り)	
2009-06-01T06:00:00	0.97848	0.98858	0.92468	0.93543	0.97701	0.98771	0.92381	0.93386	
2009-05-01T06:00:00	0.95718	0.98058	0.94075	0.97848	0.95561	0.97969	0.93977	0.97701	
2009-04-01T06:00:00	0.90493	0.96546	0.89782	0.95718	0.90366	0.96443	0.89689	0.95561	
2009-03-01T07:00:00	0.92002	0.94198	0.88846	0.90493	0.91902	0.94118	0.88742	0.90366	
2009-02-01T07:00:00	0.94617	0.96337	0.91507	0.92002	0.94482	0.96232	0.91402	0.91902	
2009-01-01T07:00:00	0.87957	0.95717	0.86778	0.94617	0.87827	0.95625	0.86452	0.94482	
2008-12-01T07:00:00	0.98237	0.98332	0.85028	0.87957	0.98122	0.98142	0.84938	0.87827	
2008-11-01T06:00:00	0.89827	1.01787	0.89827	0.98237	0.89672	1.01692	0.89672	0.98122	
2008-10-01T06:00:00	0.89827	0.89827	0.89827	0.89827	0.89672	0.89672	0.89672	0.89672	
2008-04-01T06:00:00	0.98346	1.03541	0.97083	0.99558	0.98351	1.03546	0.97088	0.98960	
