日時	NZD/CAD(始値, 買い)	NZD/CAD(高値, 買い)	NZD/CAD(安値, 買い)	NZD/CAD(終値, 買い)	NZD/CAD(始値, 売り)	NZD/CAD(高値, 売り)	NZD/CAD(安値, 売り)	NZD/CAD(終値, 売り)	
2009-06-01T06:00:00	0.70078	0.75668	0.68717	0.75138	0.69921	0.75571	0.68611	0.74991	
2009-05-01T06:00:00	0.67488	0.70818	0.67256	0.70078	0.67341	0.70661	0.66961	0.69921	
2009-04-01T06:00:00	0.70578	0.73358	0.67336	0.67488	0.70441	0.73151	0.67161	0.67341	
2009-03-01T07:00:00	0.63787	0.72199	0.62867	0.70578	0.63662	0.72084	0.62742	0.70441	
2009-02-01T07:00:00	0.62351	0.66559	0.61547	0.63787	0.62218	0.66462	0.61422	0.63662	
2009-01-01T07:00:00	0.71229	0.71788	0.62235	0.62351	0.71114	0.71642	0.62100	0.62218	
2008-12-01T07:00:00	0.68007	0.72579	0.65507	0.71229	0.67832	0.72236	0.65377	0.71114	
2008-11-01T06:00:00	0.70247	0.71582	0.66347	0.68007	0.70032	0.71467	0.65736	0.67832	
2008-10-01T06:00:00	0.71357	0.76027	0.64417	0.70247	0.71232	0.75637	0.64232	0.70032	
2008-09-01T06:00:00	0.71667	0.73427	0.69437	0.71357	0.71562	0.73272	0.69347	0.71232	
