日時	NZD/CHF(始値, 買い)	NZD/CHF(高値, 買い)	NZD/CHF(安値, 買い)	NZD/CHF(終値, 買い)	NZD/CHF(始値, 売り)	NZD/CHF(高値, 売り)	NZD/CHF(安値, 売り)	NZD/CHF(終値, 売り)	
2009-06-01T06:00:00	0.68513	0.71058	0.67008	0.70223	0.68351	0.70901	0.66783	0.70086	
2009-05-01T06:00:00	0.64543	0.68618	0.64208	0.68513	0.64406	0.68451	0.63961	0.68351	
2009-04-01T06:00:00	0.63823	0.68163	0.63358	0.64543	0.63691	0.67801	0.63231	0.64406	
2009-03-01T07:00:00	0.58647	0.65603	0.57057	0.63823	0.58542	0.65446	0.56957	0.63691	
2009-02-01T07:00:00	0.58965	0.63157	0.57760	0.58647	0.58842	0.63045	0.57673	0.58542	
2009-01-01T07:00:00	0.62617	0.67100	0.58657	0.58965	0.62498	0.67021	0.58542	0.58842	
2008-12-01T07:00:00	0.66737	0.66737	0.60427	0.62617	0.66602	0.66602	0.60322	0.62498	
2008-11-01T06:00:00	0.67767	0.71292	0.63534	0.66737	0.67612	0.71172	0.63100	0.66602	
2008-10-01T06:00:00	0.75217	0.76247	0.62147	0.67767	0.75087	0.76152	0.61770	0.67612	
2008-09-01T06:00:00	0.75787	0.76623	0.71867	0.75217	0.75667	0.76531	0.71757	0.75087	
