日時	EUR/JPY(始値, 買い)	EUR/JPY(高値, 買い)	EUR/JPY(安値, 買い)	
EUR/JPY(終値, 買い)	EUR/JPY(始値, 売り)	EUR/JPY(高値, 売り)	EUR/JPY(安値, 売り)	EUR/JPY(終値, 売り)	MVA	2014-02-15T07:00:00	139.425	139.481	
139.425	139.481	139.383	139.383	139.383	139.383	139.452	2014-02-15T06:30:00	139.443	
139.528	139.404	139.425	139.412	139.477	139.382	139.383	139.462	2014-02-15T06:00:00	
139.473	139.518	139.425	139.443	139.446	139.489	139.388	139.412	139.477	
2014-02-15T05:30:00	139.542	139.575	139.444	139.473	139.513	139.551	139.416	139.446	
139.481	2014-02-15T05:00:00	139.560	139.563	139.522	139.542	139.531	139.535	139.493	
139.513	139.476	2014-02-15T04:30:00	139.523	139.607	139.510	139.560	139.494	139.577	
139.482	139.531	139.457	2014-02-15T04:00:00	139.487	139.529	139.481	139.523	139.458	
139.500	139.453	139.494	139.442	2014-02-15T03:30:00	139.509	139.535	139.467	139.487	
139.482	139.507	139.438	139.458	139.430	2014-02-15T03:00:00	139.472	139.532	139.459	
139.509	139.444	139.504	139.430	139.482	139.432	2014-02-15T02:30:00	139.440	139.502	
139.408	139.472	139.410	139.476	139.382	139.444	139.418	2014-02-15T02:00:00	139.409	
139.469	139.368	139.440	139.380	139.441	139.344	139.410	139.420	2014-02-15T01:30:00	
139.451	139.499	139.408	139.409	139.428	139.473	139.379	139.380	139.426	
2014-02-15T01:00:00	139.433	139.486	139.376	139.451	139.406	139.458	139.348	139.428	
139.446	2014-02-15T00:30:00	139.495	139.583	139.411	139.433	139.471	139.555	139.381	
139.406	139.464	2014-02-15T00:00:00	139.414	139.525	139.317	139.495	139.385	139.499	
139.292	139.471	139.495	2014-02-14T23:30:00	139.491	139.505	139.352	139.414	139.463	
139.479	139.321	139.385	139.512	2014-02-14T23:00:00	139.479	139.543	139.357	139.491	
139.450	139.516	139.330	139.463	139.513	2014-02-14T22:30:00	139.547	139.626	139.455	
139.479	139.516	139.598	139.428	139.450	139.507	2014-02-14T22:00:00	139.584	139.584	
139.467	139.547	139.557	139.557	139.442	139.516	139.501	2014-02-14T21:30:00	139.651	
139.660	139.522	139.584	139.620	139.629	139.494	139.557	139.500	2014-02-14T21:00:00	
139.619	139.664	139.547	139.651	139.591	139.636	139.518	139.620	139.493	
2014-02-14T20:30:00	139.424	139.638	139.390	139.619	139.393	139.613	139.361	139.591	
139.475	2014-02-14T20:00:00	139.450	139.486	139.407	139.424	139.421	139.460	139.378	
139.393	139.458	2014-02-14T19:30:00	139.435	139.479	139.386	139.450	139.406	139.450	
139.369	139.421	139.486	2014-02-14T19:00:00	139.542	139.576	139.396	139.435	139.515	
139.544	139.370	139.406	139.505	2014-02-14T18:30:00	139.531	139.601	139.442	139.542	
139.506	139.571	139.414	139.515	139.477	2014-02-14T18:00:00	139.518	139.674	139.437	
139.531	139.490	139.644	139.411	139.506	139.419	2014-02-14T17:30:00	139.504	139.599	
