日時	"USD/TRY(始値, 買い)"	"USD/TRY(高値, 買い)"	"USD/TRY(安値, 買い)"	"USD/TRY(終値, 買い)"	"USD/TRY(始値, 売り)*"	"USD/TRY(高値, 売り)*"	"USD/TRY(安値, 売り)*"	"USD/TRY(終値, 売り)*"
2016/12/29 04:45:00	3.53196	3.53352	3.52978	3.53195	3.53095	3.53287	3.52887	3.53097
2016/12/29 04:30:00	3.53361	3.53468	3.52939	3.53196	3.53325	3.53432	3.52874	3.53095
2016/12/29 04:15:00	3.53533	3.53692	3.53280	3.53361	3.53450	3.53567	3.53216	3.53325
2016/12/29 04:00:00	3.53515	3.53645	3.53350	3.53533	3.53452	3.53552	3.53284	3.53450
2016/12/29 03:45:00	3.53534	3.53632	3.53481	3.53515	3.53477	3.53567	3.53428	3.53452
2016/12/29 03:30:00	3.53540	3.53806	3.53466	3.53534	3.53485	3.53732	3.53405	3.53477
2016/12/29 03:15:00	3.53913	3.54001	3.53380	3.53540	3.53862	3.53948	3.53312	3.53485
2016/12/29 03:00:00	3.53740	3.53993	3.53550	3.53913	3.53662	3.53923	3.53499	3.53862
2016/12/29 02:45:00	3.54014	3.54022	3.53545	3.53740	3.53780	3.53818	3.53499	3.53662
2016/12/29 02:30:00	3.53832	3.54219	3.53442	3.54014	3.53778	3.54072	3.53397	3.53780
